target_id,target,sport,work_package,status,evidence,source,source_date,capabilities_validated,backend_tests,frontend_tests,device_tests,blocker_or_notes
espn:basketball:fiba,FIBA World Cup,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--fiba.json,https://site.api.espn.com/apis/site/v2/sports/basketball/fiba/scoreboard,2026-09-24T21:02:11.635442+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:basketball:mens-olympics-basketball,Olympics Men's Basketball,basketball,W2-team-and-soccer,archival,docs/sports-coverage/evidence/basketball--mens-olympics-basketball.json,https://site.api.espn.com/apis/site/v2/sports/basketball/mens-olympics-basketball/scoreboard,2026-09-24T21:02:11.706434+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"LA28 official program includes baseball, basketball, golf, rugby sevens and football in the 2028 summer edition. Existing provider samples are historical editions, not retired sports. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:basketball:nba-development,NBA G League,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--nba-development.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-development/scoreboard,2026-09-24T21:02:11.853484+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:basketball:nba-summer-california,NBA California Classic Summer League,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--nba-summer-california.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-california/scoreboard,2026-09-24T21:02:11.985184+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:basketball:nba-summer-golden-state,Golden State Summer League,basketball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/basketball--nba-summer-golden-state.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-golden-state/scoreboard,2026-09-24T21:02:12.616188+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2022-07-05T19:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:basketball:nba-summer-las-vegas,Las Vegas Summer League,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--nba-summer-las-vegas.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-las-vegas/scoreboard,2026-09-24T21:02:12.717802+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:basketball:nba-summer-orlando,Orlando Summer League,basketball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/basketball--nba-summer-orlando.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-orlando/scoreboard,2026-09-24T21:02:12.785461+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2017-07-06T12:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:basketball:nba-summer-sacramento,Sacramento Summer League,basketball,W2-team-and-soccer,candidate,docs/sports-coverage/evidence/basketball--nba-summer-sacramento.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-sacramento/scoreboard,2026-09-24T21:02:12.937730+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2024-07-10T23:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:basketball:nba-summer-utah,Salt Lake City Summer League,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--nba-summer-utah.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nba-summer-utah/scoreboard,2026-09-24T21:02:13.585141+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:basketball:nbl,National Basketball League,basketball,W2-team-and-soccer,limited,docs/sports-coverage/evidence/basketball--nbl.json,https://site.api.espn.com/apis/site/v2/sports/basketball/nbl/scoreboard,2026-09-24T21:02:13.718515+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:basketball:womens-olympics-basketball,Olympics Women's Basketball,basketball,W2-team-and-soccer,archival,docs/sports-coverage/evidence/basketball--womens-olympics-basketball.json,https://site.api.espn.com/apis/site/v2/sports/basketball/womens-olympics-basketball/scoreboard,2026-09-24T21:02:13.760342+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"LA28 official program includes baseball, basketball, golf, rugby sevens and football in the 2028 summer edition. Existing provider samples are historical editions, not retired sports. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:field-hockey:womens-college-field-hockey,NCAA Women's Field Hockey,field-hockey,W3-new-sports,limited,docs/sports-coverage/evidence/field-hockey--womens-college-field-hockey.json,https://site.api.espn.com/apis/site/v2/sports/field-hockey/womens-college-field-hockey/scoreboard,2026-09-24T21:02:13.897493+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:football:cfl,Canadian Football League,football,W6-source-resolution,limited,evidence/cfl-fixtures-2026.json; official full fixture validation in CFL work package,https://api.stats.cfl.ca/fixtures/2026,2026-09-24T21:02:14.541793+00:00,schedule;final-result,provider-fixture-only; see CFL adapter test evidence,not-run,not-run,Integrate tested official public CFL adapter; preserve legacy manifest canonical ID and record undocumented-interface limitation. ESPN feed remains stale.
espn:football:ufl,United Football League,football,W2-team-and-soccer,limited,docs/sports-coverage/evidence/football--ufl.json,https://site.api.espn.com/apis/site/v2/sports/football/ufl/scoreboard,2026-09-24T21:02:14.619636+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:football:xfl,XFL,football,W2-team-and-soccer,archival,docs/sports-coverage/evidence/football--xfl.json,https://site.api.espn.com/apis/site/v2/sports/football/xfl/scoreboard,2026-09-24T21:02:14.837697+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,Official UFL announcement establishes XFL/USFL merger into UFL for 2024. XFL2023 records remain distinct historical identity; do not merge event IDs. Historical fixture retained; excluded from live refresh until a future edition is independently validated.
espn:golf:champions-tour,PGA Tour Champions,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--champions-tour.json,https://site.api.espn.com/apis/site/v2/sports/golf/champions-tour/scoreboard,2026-09-24T21:02:14.877160+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:golf:eur,DP World Tour,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--eur.json,https://site.api.espn.com/apis/site/v2/sports/golf/eur/scoreboard,2026-09-24T21:02:15.526272+00:00,schedule;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:golf:liv,LIV Golf Invitational Series,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--liv.json,https://site.api.espn.com/apis/site/v2/sports/golf/liv/scoreboard,2026-09-24T21:02:15.666098+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:golf:lpga,Ladies Pro Golf Association,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--lpga.json,https://site.api.espn.com/apis/site/v2/sports/golf/lpga/scoreboard,2026-09-24T21:02:15.882443+00:00,schedule;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:golf:mens-olympics-golf,Olympic Golf - Men,golf,W4-golf,archival,docs/sports-coverage/evidence/golf--mens-olympics-golf.json,https://site.api.espn.com/apis/site/v2/sports/golf/mens-olympics-golf/scoreboard,2026-09-24T21:02:15.890905+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"LA28 official program includes baseball, basketball, golf, rugby sevens and football in the 2028 summer edition. Existing provider samples are historical editions, not retired sports. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:golf:ntw,Korn Ferry Tour,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--ntw.json,https://site.api.espn.com/apis/site/v2/sports/golf/ntw/scoreboard,2026-09-24T21:02:16.497831+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,"Dated2026 named tournament schedule and competition identity validated. No athlete participants returned; schedule-only tournament card, no leaderboard/results claim."
espn:golf:tgl,TGL,golf,W4-golf,limited,docs/sports-coverage/evidence/golf--tgl.json,https://site.api.espn.com/apis/site/v2/sports/golf/tgl/scoreboard,2026-09-24T21:02:16.599249+00:00,schedule;final-result,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant sample verified; live transitions and season completeness unverified.
espn:golf:womens-olympics-golf,Olympic Golf - Women,golf,W4-golf,archival,docs/sports-coverage/evidence/golf--womens-olympics-golf.json,https://site.api.espn.com/apis/site/v2/sports/golf/womens-olympics-golf/scoreboard,2026-09-24T21:02:16.855072+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"LA28 official program includes baseball, basketball, golf, rugby sevens and football in the 2028 summer edition. Existing provider samples are historical editions, not retired sports. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:hockey:hockey-world-cup,World Cup of Hockey,hockey,W2-team-and-soccer,archival,docs/sports-coverage/evidence/hockey--hockey-world-cup.json,https://site.api.espn.com/apis/site/v2/sports/hockey/hockey-world-cup/scoreboard,2026-09-24T21:02:17.030703+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"NHL confirms return in 2028; historical2016 feed is dormant cycle, not retirement. Historical fixture retained; excluded from live refresh until a future edition is independently validated."
espn:hockey:mens-college-hockey,NCAA Men's Ice Hockey,hockey,W2-team-and-soccer,limited,docs/sports-coverage/evidence/hockey--mens-college-hockey.json,https://site.api.espn.com/apis/site/v2/sports/hockey/mens-college-hockey/scoreboard,2026-09-24T21:02:17.399099+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:hockey:olympics-mens-ice-hockey,Men's Ice Hockey,hockey,W2-team-and-soccer,limited,docs/sports-coverage/evidence/hockey--olympics-mens-ice-hockey.json,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-mens-ice-hockey/scoreboard,2026-09-24T21:02:17.513083+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:hockey:olympics-womens-ice-hockey,Women's Ice Hockey,hockey,W2-team-and-soccer,limited,docs/sports-coverage/evidence/hockey--olympics-womens-ice-hockey.json,https://site.api.espn.com/apis/site/v2/sports/hockey/olympics-womens-ice-hockey/scoreboard,2026-09-24T21:02:17.946156+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:hockey:womens-college-hockey,NCAA Women's Hockey,hockey,W2-team-and-soccer,limited,docs/sports-coverage/evidence/hockey--womens-college-hockey.json,https://site.api.espn.com/apis/site/v2/sports/hockey/womens-college-hockey/scoreboard,2026-09-24T21:02:17.962267+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:lacrosse:mens-college-lacrosse,NCAA Men's Lacrosse,lacrosse,W3-new-sports,limited,docs/sports-coverage/evidence/lacrosse--mens-college-lacrosse.json,https://site.api.espn.com/apis/site/v2/sports/lacrosse/mens-college-lacrosse/scoreboard,2026-09-24T21:02:18.312071+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:lacrosse:nll,National Lacrosse League,lacrosse,W3-new-sports,limited,docs/sports-coverage/evidence/lacrosse--nll.json,https://site.api.espn.com/apis/site/v2/sports/lacrosse/nll/scoreboard,2026-09-24T21:02:18.519389+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:lacrosse:pll,Premier Lacrosse League,lacrosse,W3-new-sports,limited,docs/sports-coverage/evidence/lacrosse--pll.json,https://site.api.espn.com/apis/site/v2/sports/lacrosse/pll/scoreboard,2026-09-24T21:02:18.866890+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:lacrosse:womens-college-lacrosse,NCAA Women's Lacrosse,lacrosse,W3-new-sports,limited,docs/sports-coverage/evidence/lacrosse--womens-college-lacrosse.json,https://site.api.espn.com/apis/site/v2/sports/lacrosse/womens-college-lacrosse/scoreboard,2026-09-24T21:02:18.971728+00:00,schedule;final-result;period-detail,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:mma:absolute,Absolute Championship Berkut,mma,W5-combat,limited,docs/sports-coverage/evidence/mma--absolute.json,https://site.api.espn.com/apis/site/v2/sports/mma/absolute/scoreboard,2026-09-24T21:02:19.208520+00:00,schedule,provider-fixture-only; integration-not-run,not-run,not-run,Dated current/relevant-season named-participant schedule sample verified; completeness and live transitions unverified.
espn:mma:affliction,Affliction,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--affliction.json,https://site.api.espn.com/apis/site/v2/sports/mma/affliction/scoreboard,2026-09-24T21:02:19.630771+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2009-08-01T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:bang-fighting,Bang Fighting Championships,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--bang-fighting.json,https://site.api.espn.com/apis/site/v2/sports/mma/bang-fighting/scoreboard,2026-09-24T21:02:19.804477+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2012-10-13T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:banni-fight,Banni Fight Combat,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--banni-fight.json,https://site.api.espn.com/apis/site/v2/sports/mma/banni-fight/scoreboard,2026-09-24T21:02:19.915584+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2004-05-10T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:banzay,Banzay Fight Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--banzay.json,https://site.api.espn.com/apis/site/v2/sports/mma/banzay/scoreboard,2026-09-24T21:02:20.202370+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2015-05-16T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:barracao,Barracao Fight Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--barracao.json,https://site.api.espn.com/apis/site/v2/sports/mma/barracao/scoreboard,2026-09-24T21:02:20.565315+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2013-06-08T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:battlezone,Battlezone Fighting Championships,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--battlezone.json,https://site.api.espn.com/apis/site/v2/sports/mma/battlezone/scoreboard,2026-09-24T21:02:20.748498+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2016-04-02T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:bellator,Bellator Fighting Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--bellator.json,https://site.api.espn.com/apis/site/v2/sports/mma/bellator/scoreboard,2026-09-24T21:02:20.909217+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2024-09-14T16:30Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:benevides,Benevides Fight Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--benevides.json,https://site.api.espn.com/apis/site/v2/sports/mma/benevides/scoreboard,2026-09-24T21:02:21.155997+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2014-05-23T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:big-fight,Big Fight Champions,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--big-fight.json,https://site.api.espn.com/apis/site/v2/sports/mma/big-fight/scoreboard,2026-09-24T21:02:21.523319+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2012-06-30T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:blackout,Blackout Fighting Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--blackout.json,https://site.api.espn.com/apis/site/v2/sports/mma/blackout/scoreboard,2026-09-24T21:02:21.736485+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2015-05-16T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:bosnia,Bosnia Fight Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--bosnia.json,https://site.api.espn.com/apis/site/v2/sports/mma/bosnia/scoreboard,2026-09-24T21:02:21.867568+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2015-06-13T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:boxe,Boxe Fight Combat,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--boxe.json,https://site.api.espn.com/apis/site/v2/sports/mma/boxe/scoreboard,2026-09-24T21:02:22.239477+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2013-08-31T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:brazilian-freestyle,Brazilian Freestyle Circuit,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--brazilian-freestyle.json,https://site.api.espn.com/apis/site/v2/sports/mma/brazilian-freestyle/scoreboard,2026-09-24T21:02:22.520613+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 1998-08-08T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:budo,Budo Fighting Championships,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--budo.json,https://site.api.espn.com/apis/site/v2/sports/mma/budo/scoreboard,2026-09-24T21:02:22.737344+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2011-11-05T04:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:cage-warriors,Cage Warriors Fighting Championship,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--cage-warriors.json,https://site.api.espn.com/apis/site/v2/sports/mma/cage-warriors/scoreboard,2026-09-24T21:02:23.105129+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2025-12-06T05:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
espn:mma:dream,Dream,mma,W5-combat,candidate,docs/sports-coverage/evidence/mma--dream.json,https://site.api.espn.com/apis/site/v2/sports/mma/dream/scoreboard,2026-09-24T21:02:23.304984+00:00,,provider-fixture-only; integration-not-run,not-run,not-run,"Default sample is dated 2012-12-31T05:00Z; tested2026 query yields 0 events and 0 named participant records, without a usable2026 sample. Competition retirement or alias identity is not established. Resolve current official competition calendar and an authorized source; if cyclical, corroborate edition before archival/history classification. Do not poll this candidate as current."
